title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2013 Subaru Forester LIMITED,"15,495",https://toronto.craigslist.org/tor/ctd/d/east-toronto-2013-subaru-forester/7499458535.html,102000,,clean,automatic,2013 subaru forester 2.5i limited,4wd,SUV,4 cylinders,111
2005 Nissan Infiniti,"3,500",https://toronto.craigslist.org/drh/cto/d/goodwood-2005-nissan-infiniti/7499635782.html,300000,JNKCV51F35M309474,clean,automatic,2005 nissan infiniti,fwd,sedan,6 cylinders,112
2008 Hyundai Accent for Sale,"2,500",https://toronto.craigslist.org/tor/cto/d/toronto-2008-hyundai-accent-for-sale/7499810540.html,253170,,clean,automatic,2008 hyundai accent,fwd,hatchback,,113
Dodge Durango 2002,"5,500",https://toronto.craigslist.org/tor/cto/d/toronto-dodge-durango-2002/7499822420.html,249500,,clean,automatic,2002 dodge durango,4wd,truck,8 cylinders,114
2005 Jeep Grand Cherokee v8 Hemi,"3,000",https://toronto.craigslist.org/tor/cto/d/west-toronto-2005-jeep-grand-cherokee/7499866783.html,181000,,clean,automatic,2005 cherokee,,,,115
2011 BMW 7 Series 4dr Sedan 750I xDrive AWD,"16,950",https://toronto.craigslist.org/tor/ctd/d/scarborough-2011-bmw-series-4dr-sedan/7499894343.html,142101,,clean,automatic,2011 bmw 750i xdrive,4wd,sedan,8 cylinders,116
BMW 3-Series 4dr Sdn 323i,"8,950",https://toronto.craigslist.org/tor/ctd/d/scarborough-bmw-series-4dr-sdn-323i/7499895974.html,140510,,clean,automatic,2009 bmw 3 series,rwd,sedan,6 cylinders,117
2013 Audi Q5 Premium AWD,"17,950",https://toronto.craigslist.org/tor/ctd/d/scarborough-2013-audi-q5-premium-awd/7499897010.html,119222,,clean,automatic,2013 2013 Audi Q5 Premium,4wd,SUV,4 cylinders,118
2005 FORD MUSTANG GT,"16,950",https://toronto.craigslist.org/tor/ctd/d/scarborough-2005-ford-mustang-gt/7499897952.html,102530,,clean,automatic,2005 2005 ford mustang gt,rwd,convertible,8 cylinders,119
"2016 Jeep Wrangler Unlimited, 4WD 4dr Night Sky *Ltd Avail*","29,950",https://toronto.craigslist.org/tor/ctd/d/scarborough-2016-jeep-wrangler/7499899794.html,94441,,clean,automatic,2016 2016 jeep wrangler unlimited,4wd,convertible,6 cylinders,120
2013 Jaguar XF 4dr Sdn V6 AWD,"19,450",https://toronto.craigslist.org/tor/ctd/d/scarborough-2013-jaguar-xf-4dr-sdn-v6/7499901453.html,113555,,clean,automatic,2013 2013 Jaguar XF,4wd,sedan,6 cylinders,121
2011 Volkswagen Routan,"7,200",https://toronto.craigslist.org/mss/ctd/d/mississauga-2011-volkswagen-routan/7499934877.html,130000,,clean,automatic,2011 volkswagen routan,fwd,mini-van,6 cylinders,122
2012 Jeep Patriot,"6,500",https://toronto.craigslist.org/mss/ctd/d/mississauga-2012-jeep-patriot/7499935172.html,139000,,clean,automatic,2012 jeep patriot,fwd,SUV,4 cylinders,123
2014 KIa Sedona,"7,200",https://toronto.craigslist.org/mss/ctd/d/mississauga-2014-kia-sedona/7499939643.html,180000,,clean,automatic,2014 kia sedona,fwd,mini-van,6 cylinders,124
2006 Acura RL V6,"1,400",https://toronto.craigslist.org/tor/cto/d/central-toronto-2006-acura-rl-v6/7499959429.html,147693,,clean,automatic,2006 acura,,,,125
drag car,"70,000",https://toronto.craigslist.org/tor/cto/d/newmarket-drag-car/7500040712.html,1,,clean,automatic,1986 1986 Chevy camero z28,rwd,,8 cylinders,126
Super Clean and Like New 2007 Mercedes Benz GL 450 premium 7 pass SUV,"14,999",https://toronto.craigslist.org/tor/cto/d/markham-outer-southwest-super-clean-and/7500187251.html,132000,,clean,automatic,2007 mercedes benz gl450,4wd,SUV,8 cylinders,127
2013 GS 350 F Sport,"39,999",https://toronto.craigslist.org/yrk/cto/d/richmond-hill-2013-gs-350-sport/7500197225.html,38800,,clean,automatic,2013 lexus gs 350,,sedan,6 cylinders,128
2009 Subaru Forester 2.5X Touring,"2,000",https://toronto.craigslist.org/tor/cto/d/central-toronto-2009-subaru-forester/7500340417.html,168000,,clean,automatic,2009 subaru forester 2.5x,,,,129
2016 honda civic sedan,"22,688",https://toronto.craigslist.org/tor/ctd/d/concord-2016-honda-civic-sedan/7500432819.html,58000,,clean,automatic,2016 honda civic,fwd,sedan,4 cylinders,130
2019 MERCEDES BENZ GLE 43 AMG !!!,"53,688",https://toronto.craigslist.org/tor/ctd/d/concord-2019-mercedes-benz-gle-43-amg/7500457652.html,92800,,clean,automatic,2019 mercedes-benz amg gle 43,4wd,SUV,6 cylinders,131
2018 BMW 4 series 440i xDrive,"45,888",https://toronto.craigslist.org/tor/ctd/d/concord-2018-bmw-series-440i-xdrive/7500459366.html,68766,,clean,automatic,2018 bmw 440i xdrive,4wd,,6 cylinders,132
Camry Hybrid '09,"8,600",https://toronto.craigslist.org/tor/cto/d/etobicoke-camry-hybrid-09/7500813623.html,212000,,clean,automatic,2009 toyota camry,fwd,sedan,4 cylinders,133
2003 DODGE RAM 1500 SLT 4 DOOR,"2,650",https://toronto.craigslist.org/tor/cto/d/north-york-2003-dodge-ram-1500-slt-door/7500886802.html,163025,,clean,automatic,2003 dodge ram,,,,134
2004 hummer h2,"10,500",https://toronto.craigslist.org/tor/cto/d/kingston-2004-hummer-h2/7500888246.html,383000,,clean,automatic,2004 hummer h2,4wd,SUV,8 cylinders,135
2007 Honda CR-V EXL,"2,500",https://toronto.craigslist.org/tor/cto/d/downtown-toronto-2007-honda-cr-exl/7498992935.html,40000,,clean,automatic,2007 honda cr-v ex-l,,,,136
"2001 Acura CL 3.2 Type S - Steptronic Transmission - 205k, $4365 obo","4,095",https://toronto.craigslist.org/tor/cto/d/mississauga-2001-acura-cl-32-type/7501145921.html,205700,,clean,automatic,2001 acura 3.2 cl type s,fwd,coupe,6 cylinders,137
"2018 Audi TT RS 2.5T Quattro - No Accidents, One Owner, Local","85,559",https://toronto.craigslist.org/tor/ctd/d/vancouver-2018-audi-tt-rs-25t-quattro/7501243777.html,28500,,clean,automatic,2018 audi tt,,,,138
2019 Volkswagon Jetta,"23,000",https://toronto.craigslist.org/mss/cto/d/brampton-south-2019-volkswagon-jetta/7501312800.html,130000,,clean,automatic,2019 volkswagen jetta,fwd,sedan,4 cylinders,139
WELL MAINTAINED. STILL SOLID and RELIABLE. 2002 LEXUS ES300 4dr Sedan.,"4,750",https://toronto.craigslist.org/tor/cto/d/north-york-well-maintained-still-solid/7501553867.html,254000,,clean,automatic,2002 2002 LEXUS ES300,fwd,sedan,6 cylinders,140
1979 Trans Am,"13,000",https://toronto.craigslist.org/tor/cto/d/scarborough-1979-trans-am/7501606386.html,26256,,clean,automatic,1979 pontiac trans am ws6,rwd,coupe,8 cylinders,141
