title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2010 Audi A5 - Cpe Auto 3.2L,"11,999",https://londonon.craigslist.org/ctd/d/2010-audi-a5-cpe-auto-32l/7497271916.html,204649,WAUDKBFR3AA004467,clean,automatic,2010 Audi A5,4wd,coupe,6 cylinders,38
2011 BMW - 328i xDrive,"6,500",https://londonon.craigslist.org/ctd/d/2011-bmw-328i-xdrive/7497276375.html,286200,WBAPK7C53BA818180,clean,automatic,2011 BMW 3-Series,4wd,sedan,6 cylinders,39
2010 Cadillac DTS Luxury Collection,"7,999",https://londonon.craigslist.org/ctd/d/2010-cadillac-dts-luxury-collection/7497281158.html,271525,1G6KD5EY5AU124397,clean,automatic,2010 Cadillac DTS,fwd,sedan,8 cylinders,40
2008 Mercedes-Benz CLK350 Coupe,"6,500",https://londonon.craigslist.org/ctd/d/2008-mercedes-benz-clk350-coupe/7497286129.html,232800,WDBTJ56H08F256179,clean,automatic,2008 Mercedes-Benz CLK-Class,rwd,coupe,6 cylinders,41
2006 Mercedes-Benz ML500 4MATIC,"6,595",https://londonon.craigslist.org/ctd/d/2006-mercedes-benz-ml500-4matic/7497291022.html,231568,4JGBB75E96A015305,clean,automatic,2006 Mercedes-Benz ML500,4wd,SUV,8 cylinders,42
2010 Nissan Murano AWD 4dr S,"7,999",https://londonon.craigslist.org/ctd/d/2010-nissan-murano-awd-4dr/7500234240.html,209111,JN8AZ1MW4AW115489,clean,automatic,2010 Nissan Murano,4wd,SUV,6 cylinders,43
1998 Porsche Boxster - 2dr Roadster Manual,"10,999",https://londonon.craigslist.org/ctd/d/1998-porsche-boxster-2dr-roadster-manual/7497295679.html,295449,WP0CA2987WU621526,clean,manual,1998 Porsche Boxster,rwd,convertible,6 cylinders,44
2007 Saturn VUE - FWD V6 Auto,"3,999",https://londonon.craigslist.org/ctd/d/2007-saturn-vue-fwd-v6-auto/7488627877.html,232492,5GZCZ53447S815636,clean,automatic,2007 Saturn VUE,fwd,SUV,6 cylinders,45
2008 Toyota Matrix XR - Manual,"4,999",https://londonon.craigslist.org/ctd/d/2008-toyota-matrix-xr-manual/7497300267.html,176241,2T1KR32E88C704649,clean,manual,2008 Toyota Matrix,fwd,hatchback,4 cylinders,46
2006 Toyota Camry LE - Sedan V6 Auto,"3,999",https://londonon.craigslist.org/ctd/d/2006-toyota-camry-le-sedan-v6-auto/7497304639.html,264201,4T1BF32K46U113597,clean,automatic,2006 Toyota Camry,fwd,sedan,6 cylinders,47
2017 Mercedes-Benz GLE,"46,995",https://londonon.craigslist.org/ctd/d/2017-mercedes-benz-gle/7501289298.html,94540,4JGDA6EB2HA992350,clean,automatic,2017 Mercedes-Benz GLE,4wd,SUV,6 cylinders,48
2018 Mercedes-Benz GLE,"61,999",https://londonon.craigslist.org/ctd/d/2018-mercedes-benz-gle/7501287372.html,57326,4JGDA6EB5JA997385,clean,automatic,2018 Mercedes-Benz GLE,4wd,SUV,6 cylinders,49
2018 Mercedes-Benz GLA,"47,141",https://londonon.craigslist.org/ctd/d/2018-mercedes-benz-gla/7501285949.html,32501,WDDTG5CB8JJ432291,clean,automatic,2018 Mercedes-Benz GLA,4wd,SUV,4 cylinders,50
2019 Mercedes-Benz CLS,"79,888",https://londonon.craigslist.org/ctd/d/2019-mercedes-benz-cls/7501284538.html,83995,WDD2J6BB7KA036147,clean,automatic,2019 Mercedes-Benz CLS,4wd,sedan,6 cylinders,51
2021 Mercedes-Benz GLE,"74,223",https://londonon.craigslist.org/ctd/d/2021-mercedes-benz-gle/7501282997.html,25116,4JGFB4KB4MA363424,clean,automatic,2021 Mercedes-Benz GLE,4wd,SUV,4 cylinders,52
2017 Dodge Journey,"20,700",https://chatham.craigslist.org/cto/d/kent-2017-dodge-journey/7498298212.html,67536,,clean,automatic,2017 dodge journey,,,,53
2021 Mercedes-Benz G-Class,"369,995",https://londonon.craigslist.org/ctd/d/2021-mercedes-benz-class/7501281515.html,254,W1NYC7HJ7MX420196,clean,automatic,2021 Mercedes-Benz G-Class,4wd,SUV,8 cylinders,54
1999 Dakota R/T,"10,000",https://windsor.craigslist.org/cto/d/windsor-1999-dakota-t/7485052603.html,228000,,clean,automatic,1999 dodge dakota,rwd,pickup,8 cylinders,55
1963 FORD GALAXIE 500 XL,"35,000",https://windsor.craigslist.org/cto/d/windsor-1963-ford-galaxie-500-xl/7486256435.html,7500,,clean,automatic,1963 FORD GALAXIE 500 XL,rwd,convertible,8 cylinders,56
2020 Lexus LX,"114,110",https://londonon.craigslist.org/ctd/d/2020-lexus-lx/7501279925.html,41187,JTJDY7AX4L4320916,clean,automatic,2020 Lexus LX,4wd,SUV,8 cylinders,57
2007 Buick Rendezvous,"5,800",https://windsor.craigslist.org/cto/d/windsor-2007-buick-rendezvous/7489465772.html,182000,,clean,automatic,2007 Buick,fwd,SUV,6 cylinders,58
2016 Land Rover Range Rover Sport,"59,976",https://londonon.craigslist.org/ctd/d/2016-land-rover-range-rover-sport/7501276825.html,83347,SALWR2EF8GA110719,clean,automatic,2016 Land Rover Range Rover Sport,4wd,SUV,8 cylinders,59
2006 Ford 150 4 by 4,"10,200",https://windsor.craigslist.org/cto/d/leamington-2006-ford-by/7491439807.html,124000,1FTRW14W46FA07162,clean,automatic,2006 ford f-150,4wd,pickup,8 cylinders,60
2021 Lexus NX,"50,948",https://londonon.craigslist.org/ctd/d/2021-lexus-nx/7501278419.html,17248,JTJGARDZ1M5019798,clean,automatic,2021 Lexus NX,4wd,SUV,4 cylinders,61
Convertible for sale,"20,000",https://windsor.craigslist.org/cto/d/essex-convertible-for-sale/7492793751.html,31650,,clean,manual,2006 pontiac solstice convertible,rwd,convertible,4 cylinders,62
2017 Land Rover Range Rover Sport,"64,168",https://londonon.craigslist.org/ctd/d/2017-land-rover-range-rover-sport/7501275264.html,45378,SALWR2FK7HA142526,clean,automatic,2017 Land Rover Range Rover Sport,4wd,SUV,6 cylinders,63
Convertible for sale,"20,000",https://windsor.craigslist.org/cto/d/essex-convertible-for-sale/7492795646.html,31650,,clean,manual,2006 pontiac solstice convertible,rwd,convertible,4 cylinders,64
2018 Land Rover Discovery,"54,561",https://londonon.craigslist.org/ctd/d/2018-land-rover-discovery/7501272068.html,71701,SALRR2RK0JA075573,clean,automatic,2018 Land Rover Discovery,4wd,SUV,6 cylinders,65
Hyundai Sonata GLS 2012,"14,000",https://windsor.craigslist.org/cto/d/windsor-hyundai-sonata-gls-2012/7494907214.html,83680,5NPEB4AC1CH342550,clean,automatic,2012 hyundai sonata gls 2012,fwd,sedan,4 cylinders,66
2018 Land Rover Discovery,"49,343",https://londonon.craigslist.org/ctd/d/2018-land-rover-discovery/7501270515.html,71179,SALRG2RV4JA060526,clean,automatic,2018 Land Rover Discovery,4wd,SUV,6 cylinders,67
2019 Dodge ram longhorn,"58,000",https://windsor.craigslist.org/cto/d/essex-2019-dodge-ram-longhorn/7495992577.html,50000,,clean,automatic,2019 dodge ram 1500 laramie longhorn,,,8 cylinders,68
2021 Kia Stinger,"52,398",https://londonon.craigslist.org/ctd/d/2021-kia-stinger/7501267036.html,6667,KNAE55LC3M6091209,clean,automatic,2021 Kia Stinger,rwd,sedan,6 cylinders,69
1976 Triumph  Spitfire 1500,"1,800",https://windsor.craigslist.org/cto/d/windsor-1976-triumph-spitfire-1500/7496816274.html,67000,,clean,manual,1976 Triumph Spitfire 1500,rwd,convertible,4 cylinders,70
2020 Land Rover Range Rover Evoque,"51,999",https://londonon.craigslist.org/ctd/d/2020-land-rover-range-rover-evoque/7501268789.html,42967,SALZJ2FX1LH054300,clean,automatic,2020 Land Rover Range Rover Evoque,4wd,SUV,4 cylinders,71
2011 Ford F 250 Super Duty 4x4,"10,500",https://windsor.craigslist.org/cto/d/windsor-2011-ford-250-super-duty-4x4/7497279083.html,319000,,clean,automatic,2011 ford f250 super duty,4wd,truck,8 cylinders,72
2018 BMW M3,"84,449",https://londonon.craigslist.org/ctd/d/2018-bmw-m3/7501261833.html,25033,WBS8M9C51J5J77981,clean,automatic,2018 BMW M3,rwd,sedan,6 cylinders,73
84 Fleetwood Brougham,"4,000",https://windsor.craigslist.org/cto/d/harrow-84-fleetwood-brougham/7497773654.html,68000,,clean,automatic,1984 1984 Cadillac,rwd,sedan,8 cylinders,74
2017 Ford F-150,"42,995",https://londonon.craigslist.org/ctd/d/2017-ford-150/7501265373.html,126622,1FTEW1EG2HKC93996,clean,automatic,2017 Ford F-150,4wd,pickup,6 cylinders,75
clean,"2,500",https://windsor.craigslist.org/cto/d/amherstburg-clean/7490843233.html,180000,,clean,automatic,2005 2005 acura tsx,fwd,sedan,4 cylinders,76
2019 Ford Mustang,"39,995",https://londonon.craigslist.org/ctd/d/2019-ford-mustang/7501263601.html,15082,1FA6P8TH0K5110838,clean,automatic,2019 Ford Mustang,rwd,coupe,4 cylinders,77
Ford F150 FX4 5.4 Engine V8,"13,000",https://windsor.craigslist.org/cto/d/windsor-ford-f150-fx4-54-engine-v8/7502180417.html,106000,,clean,automatic,2010 ford f-150,4wd,pickup,8 cylinders,78
2021 Acura TLX,"61,994",https://londonon.craigslist.org/ctd/d/2021-acura-tlx/7501258210.html,2590,19UUB7F02MA800232,clean,automatic,2021 Acura TLX,4wd,sedan,6 cylinders,79
2018 BMW i3,"39,995",https://londonon.craigslist.org/ctd/d/2018-bmw-i3/7501260023.html,92426,WBY7Z8C53JVB86973,clean,automatic,2018 BMW i3,rwd,sedan,,80
2018 Land Rover Range Rover Velar,"60,651",https://londonon.craigslist.org/ctd/d/2018-land-rover-range-rover-velar/7501273717.html,59497,SALYM2RVXJA761107,clean,automatic,2018 Land Rover Range Rover Velar,4wd,SUV,6 cylinders,81
2006 Honda Civic EX 4dr Sedan w/automatic,"1,600",https://londonon.craigslist.org/cto/d/london-2006-honda-civic-ex-4dr-sedan/7502764913.html,139485,,clean,automatic,2006 civic,fwd,sedan,,82
