title,price,post_url,odometer,VIN,title status,transmission,auto_descr_short,drive,type,cylinders,idx
2018 Volkswagen Atlas Highline AWD w/ Driver Assist,"46,988",https://kootenays.craigslist.org/ctd/d/maple-ridge-2018-volkswagen-atlas/7502789126.html,70400,,clean,automatic,2018 volkswagen atlas,4wd,SUV,6 cylinders,81
***FRESH INVENTORY*** 2022 DODGE CHARGER SRT HELLCAT REDEYE WIDEBODY,,https://kelowna.craigslist.org/ctd/d/surrey-south-fresh-inventory-2022-dodge/7502754241.html,20,,clean,automatic,2022 Dodge Charger SRT Hellcat Redeye,rwd,sedan,8 cylinders,82
"2010 VW NEW Beetle 2.0L, hatchback 2-dr , automatic, no accident","7,995",https://kelowna.craigslist.org/ctd/d/langley-2010-vw-new-beetle-20l/7502756732.html,200,,clean,automatic,2010 vw beetle,fwd,hatchback,4 cylinders,83
2021 RAM 1500 SPORT CREW 4X4 CLOTH 5.7L V8 HEMI 5FT BOX 3.92 AXLE,"68,888",https://kelowna.craigslist.org/ctd/d/kelowna-2021-ram-1500-sport-crew-4x4/7502758583.html,10442,,clean,automatic,2021 Ram 1500,4wd,,,84
2008 Hyundai Tucson,"3,000",https://kootenays.craigslist.org/cto/d/nelson-2008-hyundai-tucson/7502807347.html,209000,,clean,manual,2008 hyundai tucson,fwd,SUV,4 cylinders,85
1996 International Truck - Model 4700,"18,500",https://kelowna.craigslist.org/ctd/d/vernon-1996-international-truck-model/7496038210.html,123000,,clean,manual,1996 international 4700,rwd,truck,8 cylinders,86
★2022 Kia Sorento LX PREMIUM Wolf Grey - 8K KMs Only!,"40,845",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2022-kia-sorento/7502769247.html,8815,,clean,automatic,2022 Kia Sorento LX,4wd,SUV,4 cylinders,87
★2014 Honda Odyssey DVD! Leather! Sunroof! Power doors and tailgate!,"16,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2014-honda-odyssey/7502773543.html,239090,,clean,automatic,2014 Honda Odyssey,fwd,mini-van,6 cylinders,88
★2018 Jeep Wrangler willys -41K KMs Only! No Accidents! Call for Price,,https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2018-jeep-wrangler/7502777471.html,41065,,clean,automatic,2018 Jeep Wrangler willys,4wd,SUV,6 cylinders,89
2019 BMW X1 XDRIVE28I - NAVIGATION - HEATED SEATS - $248 B/W 4DR ALL-W,"39,529",https://kelowna.craigslist.org/ctd/d/kelowna-2019-bmw-x1-xdrive28i/7502777857.html,13828,,clean,automatic,2019 Bmw X1,fwd,,,90
★2012 Kia Sedona - NO ACCIDENTS! ONE OWNER!,"18,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2012-kia-sedona-no/7502780627.html,66991,,clean,automatic,2012 Kia Sedona,fwd,mini-van,6 cylinders,91
2016 Hyundai Santa Fe Limited! Accident Free!,"28,991",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2016-hyundai-santa/7502783222.html,95567,,clean,automatic,2016 Hyundai Santa Fe,4wd,SUV,6 cylinders,92
2018 Volkswagen Atlas Highline AWD w/ Driver Assist,"46,988",https://kelowna.craigslist.org/ctd/d/maple-ridge-2018-volkswagen-atlas/7502783905.html,70400,,clean,automatic,2018 volkswagen atlas,4wd,SUV,6 cylinders,93
2017 Ford Mustang Leather! Navigation! Accident-Free!,"31,688",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2017-ford-mustang/7502785083.html,62405,,clean,manual,2017 Ford Mustang,rwd,coupe,4 cylinders,94
2022 TESLA MODEL Y,"114,888",https://kelowna.craigslist.org/ctd/d/kelowna-2022-tesla-model/7502785195.html,37,,clean,automatic,2022 Tesla Model,fwd,,,95
***FRESH INVENTORY*** 2022 RAM 2500 POWER WAGON,,https://kelowna.craigslist.org/ctd/d/surrey-south-fresh-inventory-2022-ram/7502786900.html,52,,clean,automatic,2022 Ram 2500 Power Wagon,4wd,truck,8 cylinders,96
2020 Chevrolet Silverado 1500 Crew Cab! NO ACCIDENTS! 1 OWNER!,"44,802",https://kelowna.craigslist.org/ctd/d/abbotsford-southwest-2020-chevrolet/7502787060.html,63996,,clean,other,2020 Chevrolet Silverado 1500,4wd,truck,4 cylinders,97
2017 GMC Canyon SLT DIESEL,"43,888",https://kelowna.craigslist.org/ctd/d/kelowna-2017-gmc-canyon-slt-diesel/7501908892.html,79300,,clean,automatic,2017 gmc canyon slt,4wd,pickup,4 cylinders,98
2014 RAM 1500 SPORT CREW 4X4 CLOTH 5.7L V8 HEMI 6FT BOX 3.92 AXLE NAV,"26,888",https://kelowna.craigslist.org/ctd/d/kelowna-2014-ram-1500-sport-crew-4x4/7502798801.html,165538,,clean,automatic,2014 Ram 1500,4wd,,,99
⭐️2022 Ram 1500 sports *419KM *all trade/credit welcomed*⭐️⭐️,"77,323",https://kelowna.craigslist.org/ctd/d/kelowna-2022-ram-1500-sports-419km-all/7502800019.html,412,,clean,automatic,2022 ram 1500 sport,4wd,,8 cylinders,100
"2011 LAND ROVER RANGE ROVER SPORT HSE LUX - NO ACCIDENTS, BACKUP CAMER","25,888",https://kelowna.craigslist.org/ctd/d/kelowna-2011-land-rover-range-rover/7502817375.html,156648,,clean,automatic,2011 Land Rover,4wd,,,101
2019 MERCEDES-BENZ E-CLASS E 300 4MATIC SEDAN E 300 4DR ALL-WHEEL DRIV,"54,888",https://kelowna.craigslist.org/ctd/d/kelowna-2019-mercedes-benz-class-300/7502825016.html,43200,,clean,automatic,2019 Mercedes-Benz E-Class,4wd,,,102
